Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
kthreadd	2	ksoftirqd/0	6	Runnable	44.362382	0.291857	152
kthreadd	2	ion_history	70	Runnable (Preempted)	43.682697	14.560899	3
org.mozilla.firefox	13990	DefaultDispatch	14056	Uninterruptible Sleep	41.911699	0.675995	62
kthreadd	2	kworker/0:1H	233	Running	41.779209	0.023873	1750
org.mozilla.firefox	13990	pool-14-thread-	14120	Runnable	41.229463	0.664991	62
kthreadd	2	ksoftirqd/1	15	Runnable	39.90785	0.395127	101
org.mozilla.firefox:tab0	14091	StreamTrans #5	15378	Runnable	39.878309	1.81265	22
org.mozilla.firefox	13990	IndexedDB #2	15370	Runnable	39.795157	0.401971	99
org.mozilla.firefox	13990	localStorage DB	15490	Runnable (Preempted)	38.266006	0.484379	79
kthreadd	2	tx_thread	1418	Runnable (Preempted)	37.389392	0.210052	178
org.mozilla.firefox:tab0	14091	TaskController	15483	Uninterruptible Sleep + Wake Kill	36.04439	3.003699	12
org.mozilla.firefox:tab0	14091	JS Helper	14207	Uninterruptible Sleep + Wake Kill	35.709695	1.700461	21
org.mozilla.firefox:tab0	14091	JS Helper	14204	Uninterruptible Sleep + Wake Kill	35.563001	2.222687	16
org.mozilla.firefox	13990	DefaultDispatch	14056	Running	35.272703	0.244949	144
org.mozilla.firefox	13990	mali-mem-purge	14145	Runnable	33.839075	0.156662	216
kthreadd	2	kworker/0:1H	233	Runnable (Preempted)	32.719632	0.043452	753
org.mozilla.firefox	13990	localStorage DB	15490	Running	32.340622	0.165003	196
org.mozilla.firefox	13990	Timer	14112	Runnable	30.502238	0.272341	112
org.mozilla.firefox:tab0	14091	Timer	14208	Runnable	29.768155	0.211121	141
/system/bin/surfaceflinger	3534	DispSync	3545	Uninterruptible Sleep + Wake Kill	28.77854	1.370406	21
org.mozilla.firefox	13990	HeapTaskDaemon	14002	Sleeping	28.576233	4.082319	7
kthreadd	2	kworker/u8:3	14523	Running	28.022621	0.081461	344
org.mozilla.firefox	13990	mali-cmar-backe	14151	Runnable (Preempted)	27.478006	0.230907	119
kthreadd	2	kworker/1:2H	12396	Running	27.206555	0.025098	1084
kthreadd	2	mtk charger_hv_	204	Runnable	26.515231	0.228579	116
org.mozilla.firefox	13990	StreamTrans #28	15320	Runnable	26.439543	1.101647	24
org.mozilla.firefox	13990	IndexedDB #2	15370	Uninterruptible Sleep	26.229847	1.00884	26
org.mozilla.firefox:tab0	14091	Socket Thread	14202	Uninterruptible Sleep + Wake Kill	25.70985	2.85665	9
kthreadd	2	kcompactd0	30	Running	25.168311	0.399497	63
